Size,Operation,Time
1000,"dot(x,A,y)",0.0004062
1000,A*x,0.0005033
1000,"dot(x,A,y)",0.0004068
1000,A*x,0.000287
1000,"dot(x,A,y)",0.0005489
1000,A*x,0.0003183
1000,"dot(x,A,y)",0.0004632
1000,A*x,0.0004914
1000,"dot(x,A,y)",0.0004343
1000,A*x,0.0004082
1000,"dot(x,A,y)",0.0004033
1000,A*x,0.000397
1000,"dot(x,A,y)",0.0004267
1000,A*x,0.0003634
1000,"dot(x,A,y)",0.000378
1000,A*x,0.0002483
1000,"dot(x,A,y)",0.0003806
1000,A*x,0.0003887
1000,"dot(x,A,y)",0.0003794
1000,A*x,0.0002746
2000,"dot(x,A,y)",0.0017453
2000,A*x,0.0012726
2000,"dot(x,A,y)",0.0016095
2000,A*x,0.0015062
2000,"dot(x,A,y)",0.0016261
2000,A*x,0.0012069
2000,"dot(x,A,y)",0.0016672
2000,A*x,0.0012098
2000,"dot(x,A,y)",0.0016163
2000,A*x,0.0013034
2000,"dot(x,A,y)",0.0017526
2000,A*x,0.0012486
2000,"dot(x,A,y)",0.0029398
2000,A*x,0.0017711
2000,"dot(x,A,y)",0.0015139
2000,A*x,0.0012522
2000,"dot(x,A,y)",0.0030547
2000,A*x,0.0017771
2000,"dot(x,A,y)",0.0023778
2000,A*x,0.0019605
3000,"dot(x,A,y)",0.0032443
3000,A*x,0.0032656
3000,"dot(x,A,y)",0.0033163
3000,A*x,0.002673
3000,"dot(x,A,y)",0.0037991
3000,A*x,0.0031716
3000,"dot(x,A,y)",0.003354
3000,A*x,0.003209
3000,"dot(x,A,y)",0.0066803
3000,A*x,0.0043565
3000,"dot(x,A,y)",0.0037353
3000,A*x,0.0029393
3000,"dot(x,A,y)",0.0034438
3000,A*x,0.0033265
3000,"dot(x,A,y)",0.0087212
3000,A*x,0.0029614
3000,"dot(x,A,y)",0.0034317
3000,A*x,0.0033968
3000,"dot(x,A,y)",0.0031573
3000,A*x,0.0030153
5000,"dot(x,A,y)",0.0120159
5000,A*x,0.0079456
5000,"dot(x,A,y)",0.0099682
5000,A*x,0.0093777
5000,"dot(x,A,y)",0.0101839
5000,A*x,0.0091259
5000,"dot(x,A,y)",0.0099633
5000,A*x,0.0082337
5000,"dot(x,A,y)",0.0105401
5000,A*x,0.0070929
5000,"dot(x,A,y)",0.0100085
5000,A*x,0.0086672
5000,"dot(x,A,y)",0.0098872
5000,A*x,0.0085401
5000,"dot(x,A,y)",0.0101021
5000,A*x,0.0077482
5000,"dot(x,A,y)",0.0100954
5000,A*x,0.0101695
5000,"dot(x,A,y)",0.0104367
5000,A*x,0.0079895
10000,"dot(x,A,y)",0.0416045
10000,A*x,0.0317533
10000,"dot(x,A,y)",0.041252
10000,A*x,0.0359136
10000,"dot(x,A,y)",0.0608083
10000,A*x,0.0286894
10000,"dot(x,A,y)",0.0381571
10000,A*x,0.0400515
10000,"dot(x,A,y)",0.0366414
10000,A*x,0.026957
10000,"dot(x,A,y)",0.0375155
10000,A*x,0.027596
10000,"dot(x,A,y)",0.0374226
10000,A*x,0.0303396
10000,"dot(x,A,y)",0.0376832
10000,A*x,0.0372185
10000,"dot(x,A,y)",0.0376593
10000,A*x,0.0271957
10000,"dot(x,A,y)",0.0368886
10000,A*x,0.0283783
15000,"dot(x,A,y)",0.0943149
15000,A*x,0.063913
15000,"dot(x,A,y)",0.1754492
15000,A*x,0.0952003
15000,"dot(x,A,y)",0.0967725
15000,A*x,0.0779993
15000,"dot(x,A,y)",0.0904174
15000,A*x,0.0672296
15000,"dot(x,A,y)",0.0985747
15000,A*x,0.0741406
15000,"dot(x,A,y)",0.1111953
15000,A*x,0.064693
15000,"dot(x,A,y)",0.1133827
15000,A*x,0.0924023
15000,"dot(x,A,y)",0.085716
15000,A*x,0.0671834
15000,"dot(x,A,y)",0.1942709
15000,A*x,0.1307191
15000,"dot(x,A,y)",0.148044
15000,A*x,0.0714278
20000,"dot(x,A,y)",0.2793954
20000,A*x,0.122549
20000,"dot(x,A,y)",0.2656493
20000,A*x,0.1299467
20000,"dot(x,A,y)",0.2343037
20000,A*x,0.1395647
20000,"dot(x,A,y)",0.3537332
20000,A*x,0.1108196
20000,"dot(x,A,y)",0.1575453
20000,A*x,0.1318389
20000,"dot(x,A,y)",0.1516314
20000,A*x,0.1048647
20000,"dot(x,A,y)",0.204694
20000,A*x,0.1169294
20000,"dot(x,A,y)",0.2022656
20000,A*x,0.1047955
20000,"dot(x,A,y)",0.295688
20000,A*x,0.1473863
20000,"dot(x,A,y)",0.1770408
20000,A*x,0.1340136
25000,"dot(x,A,y)",0.466344
25000,A*x,0.1819191
25000,"dot(x,A,y)",0.4609368
25000,A*x,0.181438
25000,"dot(x,A,y)",0.2559917
25000,A*x,0.2142068
25000,"dot(x,A,y)",0.3181128
25000,A*x,0.1884039
25000,"dot(x,A,y)",0.3009535
25000,A*x,0.1769546
25000,"dot(x,A,y)",0.254942
25000,A*x,0.1731493
25000,"dot(x,A,y)",0.4296284
25000,A*x,0.1710696
25000,"dot(x,A,y)",0.3228044
25000,A*x,0.1851929
25000,"dot(x,A,y)",0.4931226
25000,A*x,0.1941027
25000,"dot(x,A,y)",0.4267967
25000,A*x,0.1803554
